index1.1,index1.2,val1,index2.1,index2.2,val2,Class
0.5,0.9,2.34519,0.5,0.9,1.4023,0
0.5,1.2,2.3437,0.5,1.2,1.42567,0
0.5,1.8,2.36987,0.5,1.8,1.39872,0
1.2,0.06,5.6772,1.2,0.06,3.4621,0
1.2,0.24,5.68693,1.2,0.24,3.42661,0
1.2,0.48,5.65479,1.2,0.48,3.38597,0
1.2,0.9,5.69527,1.2,0.9,3.38537,0
1.2,1.2,5.67202,1.2,1.2,3.36028,0
1.2,1.8,5.62242,1.2,1.8,3.36135,0
3.0,0.06,14.1025,3.0,0.06,8.42584,0
3.0,0.24,14.1307,3.0,0.24,8.41728,0
3.0,0.48,14.0868,3.0,0.48,8.38948,0
3.0,0.9,14.2896,3.0,0.9,8.4018,0
3.0,1.2,14.1135,3.0,1.2,8.52544,0
3.0,1.8,14.0464,3.0,1.8,8.39033,0
4.0,0.06,18.6951,4.0,0.06,11.3309,0
4.0,0.24,18.6883,4.0,0.24,11.3523,0
4.0,0.48,18.9963,4.0,0.48,11.1453,0
4.0,0.9,18.736,4.0,0.9,11.1574,0
4.0,1.2,18.7061,4.0,1.2,11.1623,0
4.0,1.8,18.791,4.0,1.8,11.3251,0
5.0,0.06,23.6645,5.0,0.06,13.944,0
5.0,0.24,23.4187,5.0,0.24,14.1118,0
5.0,0.48,23.2727,5.0,0.48,13.9728,0
5.0,0.9,23.4945,5.0,0.9,13.9326,0
5.0,1.2,23.6717,5.0,1.2,14.1573,0
5.011175277483183,1.3066704861379448,24.00473853176451,4.975617174078442,1.3057354960670498,15.252663278102895,1
0.1,0.06,0.475221,0.1,0.06,0.00245,0
0.1,0.24,0.469329,0.1,0.24,0.005241,0
0.1,0.48,0.479347,0.1,0.48,0.007113,0
0.1,0.9,0.483369,0.1,0.9,0.015263,0
0.1,1.2,0.525612,0.1,1.2,0.018692,0
0.1,1.8,0.718181,0.1,1.8,0.022137,0
0.5,0.06,2.36477,0.5,0.06,0.00238,0
0.5,0.24,2.3708,0.5,0.24,0.005179,0
0.5,0.48,2.38155,0.5,0.48,0.007473,0
0.5,0.9,2.34519,0.5,0.9,0.015106,0
0.5,1.2,2.3437,0.5,1.2,0.019158,0
0.5,1.8,2.36987,0.5,1.8,0.022357,0
1.2,0.06,5.6772,1.2,0.06,0.002304,0
1.2,0.24,5.68693,1.2,0.24,0.004973,0
1.2,0.48,5.65479,1.2,0.48,0.007244,0
1.2,0.9,5.69527,1.2,0.9,0.014874,0
1.2,1.2,5.67202,1.2,1.2,0.018978,0
1.2,1.8,5.62242,1.2,1.8,0.022263,0
3.0,0.06,14.1025,3.0,0.06,0.001699,0
3.0,0.24,14.1307,3.0,0.24,0.004675,0
3.0,0.48,14.0868,3.0,0.48,0.006947,0
3.0,0.9,14.2896,3.0,0.9,0.014579,0
3.0,1.2,14.1135,3.0,1.2,0.018561,0
3.0,1.8,14.0464,3.0,1.8,0.024184,0
4.0,0.06,18.6951,4.0,0.06,0.001668,0
4.0,0.24,18.6883,4.0,0.24,0.004395,0
4.0,0.48,18.9963,4.0,0.48,0.006627,0
4.0,0.9,18.736,4.0,0.9,0.01426,0
4.0,1.2,18.7061,4.0,1.2,0.018345,0
4.0,1.8,18.791,4.0,1.8,0.023999,0
5.0,0.06,23.6645,5.0,0.06,0.001433,0
5.0,0.24,23.4187,5.0,0.24,0.004259,0
5.0,0.48,23.2727,5.0,0.48,0.006435,0
5.0,0.9,23.4945,5.0,0.9,0.014148,0
5.0,1.2,23.6717,5.0,1.2,0.018129,0
5.0,1.8,23.6913,5.0,1.8,0.023883,0
0.1,0.06,0.475221,0.1,0.06,0.004151,0
0.1,0.24,0.469329,0.1,0.24,0.006898,0
0.1,0.48,0.479347,0.1,0.48,0.00573,0
0.04,0.42,0.149466,0.04,0.42,0.008387,1
0.1,1.2,0.525612,0.1,1.2,0.006763,0
0.1,1.8,0.718181,0.1,1.8,0.029802,0
0.5,0.06,2.36477,0.5,0.06,0.00422,0
0.5,0.24,2.3708,0.5,0.24,0.006806,0
0.5,0.48,2.38155,0.5,0.48,0.005608,0
0.5,0.9,2.34519,0.5,0.9,0.010522,0
0.5,1.2,2.3437,0.5,1.2,0.007393,0
0.5,1.8,2.36987,0.5,1.8,0.030251,0
1.2,0.06,5.6772,1.2,0.06,0.004088,0
1.2,0.24,5.68693,1.2,0.24,0.007025,0
1.2,0.48,5.65479,1.2,0.48,0.00604,0
1.2,0.9,5.69527,1.2,0.9,0.010544,0
1.2,0.48,3.05652,1.2,0.48,0.007099,1
1.2,1.8,5.62242,1.2,1.8,0.030247,0
3.0,0.06,14.1025,3.0,0.06,0.004261,0
3.0,0.24,14.1307,3.0,0.24,0.007116,0
3.0,0.48,14.0868,3.0,0.48,0.006347,0
3.0,0.9,14.2896,3.0,0.9,0.010806,0
3.0,1.2,14.1135,3.0,1.2,0.007686,0
3.0,1.8,14.0464,3.0,1.8,0.028679,0
4.0,0.06,18.6951,4.0,0.06,0.004236,0
4.0,0.24,18.6883,4.0,0.24,0.007372,0
4.0,0.48,18.9963,4.0,0.48,0.005779,0
4.0,0.9,18.736,4.0,0.9,0.011116,0
4.0,1.2,18.7061,4.0,1.2,0.007572,0
4.0,1.8,18.791,4.0,1.8,0.028719,0
5.0,0.06,23.6645,5.0,0.06,0.004886,0
5.0,0.24,23.4187,5.0,0.24,0.007184,0
5.0,0.48,23.2727,5.0,0.48,0.006112,0
5.0,0.9,23.4945,5.0,0.9,0.011367,0
5.0,1.2,23.6717,5.0,1.2,0.007615,0
5.0,1.8,23.6913,5.0,1.8,0.02899,0
0.1,0.06,0.243067,0.1,0.06,0.287339,0
0.1,0.24,0.266772,0.1,0.24,0.281311,0
0.1,0.48,0.250856,0.1,0.48,0.33408,0
0.1,0.9,0.265419,0.1,0.9,0.415525,0
0.1,1.2,0.269267,0.1,1.2,0.600559,0
0.1,1.8,0.431288,0.1,1.8,0.491638,0
0.5,0.06,1.07437,0.5,0.06,1.43788,0
0.5,0.24,1.07853,0.5,0.24,1.40889,0
0.5,0.48,1.05575,0.5,0.48,1.41073,0
0.5,0.9,1.07894,0.5,0.9,1.4023,0
0.5,1.2,1.093,0.5,1.2,1.42567,0
0.5,1.8,1.27717,0.5,1.8,1.39872,0
1.2,0.06,2.49213,1.2,0.06,3.4621,0
1.2,0.24,2.53051,1.2,0.24,3.42661,0
1.2,0.48,2.49108,1.2,0.48,3.38597,0
14.789939520195908,5.523641330521359,47.22567878105934,13.06757973252683,4.636195815948672,37.72470899544204,1
1.2,1.2,2.50467,1.2,1.2,3.36028,0
1.2,1.8,2.6939,1.2,1.8,3.36135,0
3.0,0.06,6.1865,3.0,0.06,8.42584,0
3.0,0.24,6.16064,3.0,0.24,8.41728,0
3.0,0.48,6.15715,3.0,0.48,8.38948,0
3.0,0.9,6.19435,3.0,0.9,8.4018,0
3.0,1.2,6.17992,3.0,1.2,8.52544,0
3.0,1.8,6.34771,3.0,1.8,8.39033,0
